Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
flaubert_madamebovary. pers5	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0029]	1
flaubert_madamebovary. pers6	[0.2, 0.0064]	[0.0, 0.0]	[0.4, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0058]	5
flaubert_madamebovary. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0029]	1
flaubert_madamebovary. pers8	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. _	[0.0084, 0.0128]	[0.3755, 0.1787]	[0.346, 0.1222]	[0.0042, 0.0233]	[0.2194, 0.2047]	[0.0464, 0.0319]	237
merimee_carmen. pers1	[0.0, 0.0]	[0.3571, 0.01]	[0.2857, 0.006]	[0.0, 0.0]	[0.2143, 0.0118]	[0.1429, 0.0058]	14
merimee_carmen. pers2	[0.2, 0.0128]	[0.1, 0.002]	[0.2, 0.003]	[0.0, 0.0]	[0.3, 0.0118]	[0.2, 0.0058]	10
merimee_carmen. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0465]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers6	[0.3766, 0.1859]	[0.039, 0.006]	[0.1688, 0.0194]	[0.1299, 0.2326]	[0.013, 0.0039]	[0.2727, 0.0609]	77
merimee_carmen. pers7	[0.0, 0.0]	[0.5, 0.002]	[0.5, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers3	[0.1778, 0.0513]	[0.1778, 0.0161]	[0.4444, 0.0298]	[0.0, 0.0]	[0.0667, 0.0118]	[0.1333, 0.0174]	45
merimee_carmen. pers10	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0045]	[0.1667, 0.0233]	[0.0, 0.0]	[0.3333, 0.0058]	6
merimee_carmen. pers8	[1.0, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
