Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
merimee_carmen. pers9	[1.0, 0.0036]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
merimee_carmen. pers11	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers12	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers13	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_carmen. pers15	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers16	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. _	[0.9884, 0.0867]	[0.0058, 1.0]	[0.0, 0.0]	[0.0058, 0.5]	[0.0, 0.0]	[0.0, 0.0]	172
merimee_venusdille. pers1	[1.0, 0.0311]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	61
merimee_venusdille. pers2	[1.0, 0.0189]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	37
merimee_venusdille. pers3	[1.0, 0.0286]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	56
merimee_venusdille. pers4	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers5	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers6	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers7	[1.0, 0.0133]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	26
merimee_venusdille. pers8	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers10	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers11	[1.0, 0.0041]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	8
merimee_venusdille. pers12	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. pers13	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
zeltner_contes. _	[0.9873, 0.0398]	[0.0, 0.0]	[0.0127, 1.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	79
zeltner_contes. mere	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
